loss,accuracy,val_loss,val_accuracy
0.5121243596076965,0.7401776313781738,0.26099228858947754,0.9146853089332581
0.2551673650741577,0.8958302140235901,0.33907559514045715,0.8237762451171875
0.14100998640060425,0.9509257674217224,0.11225312948226929,0.9538461565971375
0.1075737327337265,0.9590546488761902,0.07035233080387115,0.9818181991577148
0.054506272077560425,0.9850971102714539,0.03663710504770279,0.9930070042610168
0.03655698150396347,0.9902152419090271,0.029089931398630142,0.9930070042610168
0.030781380832195282,0.9906668663024902,0.02402453124523163,0.9958041906356812
0.023873712867498398,0.9933764934539795,0.02253689616918564,0.9930070042610168
0.017959438264369965,0.9951828718185425,0.01661515422165394,0.9972028136253357
0.04375682398676872,0.9841938614845276,0.07424945384263992,0.9762237668037415
0.019015677273273468,0.9938281178474426,0.018562255427241325,0.9972028136253357
